Epoch:0  Iteration:0  Cross Validation Error:2.301877
Iteration:764  Error:0.157034
Iteration:765  Error:0.198435
Iteration:766  Error:0.148072
Iteration:767  Error:0.158217
Iteration:768  Error:0.141327
Iteration:769  Error:0.114958
Iteration:770  Error:0.112114
Iteration:771  Error:0.026662
Iteration:772  Error:0.259737
Iteration:773  Error:0.111203
Iteration:774  Error:0.092425
Iteration:775  Error:0.097917
Iteration:776  Error:0.243643
Iteration:777  Error:0.173730
Iteration:778  Error:0.179539
Iteration:779  Error:0.175838
Iteration:780  Error:0.238144
Iteration:781  Error:0.172867
Iteration:782  Error:0.311085
Iteration:783  Error:0.223425
Iteration:784  Error:0.171431
Iteration:785  Error:0.213459
Iteration:786  Error:0.111945
Iteration:787  Error:0.118118
Iteration:788  Error:0.154627
Iteration:789  Error:0.226263
Iteration:790  Error:0.215883
Iteration:791  Error:0.091546
Iteration:792  Error:0.087738
Iteration:793  Error:0.241158
Iteration:794  Error:0.175767
Iteration:795  Error:0.182823
Iteration:796  Error:0.117067
Iteration:797  Error:0.115564
Iteration:798  Error:0.094172
Iteration:799  Error:0.154356
Iteration:800  Error:0.078328
Iteration:801  Error:0.099107
Iteration:802  Error:0.250164
Iteration:803  Error:0.139685
Iteration:804  Error:0.071022
Iteration:805  Error:0.092710
Iteration:806  Error:0.078109
Iteration:807  Error:0.189306
Iteration:808  Error:0.146203
Iteration:809  Error:0.090268
Iteration:810  Error:0.272719
Iteration:811  Error:0.290916
Iteration:812  Error:0.064761
Iteration:813  Error:0.043489
Iteration:814  Error:0.034640
Iteration:815  Error:0.171376
Iteration:816  Error:0.184914
Iteration:817  Error:0.222142
Iteration:818  Error:0.112576
Iteration:819  Error:0.135963
Iteration:820  Error:0.071922
Iteration:821  Error:0.055948
Iteration:822  Error:0.236481
Iteration:823  Error:0.227858
Iteration:824  Error:0.260161
Iteration:825  Error:0.289376
Iteration:826  Error:0.197869
Iteration:827  Error:0.203209
Iteration:828  Error:0.068141
Iteration:829  Error:0.040076
Iteration:830  Error:0.119553
Iteration:831  Error:0.029884
Iteration:832  Error:0.207496
Iteration:833  Error:0.085498
Iteration:834  Error:0.174621
Iteration:835  Error:0.128566
Iteration:836  Error:0.176209
Iteration:837  Error:0.063189
Iteration:838  Error:0.143882
Iteration:839  Error:0.263128
Iteration:840  Error:0.359956
Iteration:841  Error:0.140351
Iteration:842  Error:0.075492
Epoch:1  Iteration:842  Cross Validation Error:0.135019
Updating params: deltaError: -2.189877, learning rate: 0.010100
Iteration:843  Error:0.154998
Iteration:844  Error:0.063291
Iteration:845  Error:0.114669
Iteration:846  Error:0.150221
Iteration:847  Error:0.124939
Iteration:848  Error:0.088446
Iteration:849  Error:0.356706
Iteration:850  Error:0.102020
Iteration:851  Error:0.165808
Iteration:852  Error:0.121278
Iteration:853  Error:0.118954
Iteration:854  Error:0.072319
Iteration:855  Error:0.086806
Iteration:856  Error:0.038731
Iteration:857  Error:0.146459
Iteration:858  Error:0.128034
Iteration:859  Error:0.048252
Iteration:860  Error:0.189721
Iteration:861  Error:0.272022
Iteration:862  Error:0.143481
Iteration:863  Error:0.128104
Iteration:864  Error:0.086743
Iteration:865  Error:0.106448
Iteration:866  Error:0.080039
Iteration:867  Error:0.167091
Iteration:868  Error:0.032755
Iteration:869  Error:0.231435
Iteration:870  Error:0.157033
Iteration:871  Error:0.245960
Iteration:872  Error:0.124363
Iteration:873  Error:0.175536
Iteration:874  Error:0.321922
Iteration:875  Error:0.171950
Iteration:876  Error:0.274016
Iteration:877  Error:0.120880
Iteration:878  Error:0.047554
Iteration:879  Error:0.100936
Iteration:880  Error:0.130158
Iteration:881  Error:0.113753
Iteration:882  Error:0.159741
Iteration:883  Error:0.181203
Iteration:884  Error:0.155636
Iteration:885  Error:0.154497
Iteration:886  Error:0.157412
Iteration:887  Error:0.081313
Iteration:888  Error:0.212662
Iteration:889  Error:0.188078
Iteration:890  Error:0.234333
Iteration:891  Error:0.107014
Iteration:892  Error:0.073874
Iteration:893  Error:0.117073
Iteration:894  Error:0.115489
Iteration:895  Error:0.322142
Iteration:896  Error:0.122837
Iteration:897  Error:0.164185
Iteration:898  Error:0.212944
Iteration:899  Error:0.047825
Iteration:900  Error:0.181775
Iteration:901  Error:0.085143
Iteration:902  Error:0.141632
Iteration:903  Error:0.065952
Iteration:904  Error:0.115333
Iteration:905  Error:0.078198
Iteration:906  Error:0.118732
Iteration:907  Error:0.084946
Iteration:908  Error:0.077689
Iteration:909  Error:0.095545
Iteration:910  Error:0.101705
Iteration:911  Error:0.078170
Iteration:912  Error:0.066562
Iteration:913  Error:0.124000
Iteration:914  Error:0.304503
Iteration:915  Error:0.062996
Iteration:916  Error:0.180388
Iteration:917  Error:0.155213
